Date,Gold,SP500,Euro,Oil,Silver,Quarter
2014-01-13,121.019997,164.548904,1.3672,32.810001,45118,1
2016-01-08,105.68,180.866699,1.0932,9.8,33824,1
2012-03-21,160.21000700000005,122.302139,1.3212,40.66,56851,1
2015-03-18,112.370003,194.328537,1.0867,16.76,35312,1
2017-07-12,116.029999,237.0672,1.1412,9.33,36968,3
2015-01-22,125.230003,190.302704,1.1366,17.41,40079,1
2012-05-08,156.0,119.109604,1.3003,36.869999,55135,2
2017-12-28,122.849998,262.876709,1.1943,11.97,38906,4
2014-01-29,122.470001,160.61836200000005,1.3663,34.73,44405,1
2017-01-05,112.580002,217.942657,1.0607,11.7,40448,1
2013-10-17,127.419998,156.03067,1.3676,36.380001,48126,4
2016-08-22,127.779999,208.082901,1.1319,10.97,44516,3
2016-08-26,126.050003,206.902161,1.1198,10.95,43977,3
2015-04-16,115.029999,195.112289,1.0762,19.940001,36487,2
2018-07-18,116.309998,278.169037,1.1639,14.1,38438,3
2016-11-10,119.75,207.593292,1.0893,10.04,44166,4
2018-05-23,122.540001,269.338776,1.1697,14.51,40274,2
2013-02-13,159.050003,135.06814599999998,1.3453,35.189999,57442,1
2013-01-18,163.089996,131.67706299999998,1.3319,34.77,59436,1
2017-10-16,122.970001,249.257126,1.1797,10.46,40341,4
2016-12-16,108.050003,216.633453,1.0451,11.55,39694,4
2016-10-19,121.110001,205.066803,1.0974,11.66,42194,4
2015-02-02,122.419998,186.443115,1.1342,18.620001,38005,1
2013-03-04,152.300003,135.751724,1.3026,32.400002,53801,1
2013-07-17,123.32,150.54985,1.3125,37.799999,40154,3
2015-08-11,106.260002,194.468033,1.104,14.48,35330,3
2012-06-14,157.75,116.423027,1.2631,31.73,54441,2
2012-05-07,159.080002,119.589378,1.3054,37.049999,55796,2
2014-12-29,113.669998,192.721863,1.2152,20.299999,36484,4
2016-08-04,129.869995,206.06424,1.113,9.84,47677,3
2013-08-05,125.699997,153.014938,1.3258,37.830002,41760,3
2012-12-03,166.130005,124.685127,1.3054,32.599998,61814,4
2015-12-22,102.610001,191.779755,1.0955,10.77,34286,4
2015-10-15,113.290001,189.568207,1.1383,15.13,37513,4
2018-02-08,124.980003,252.827606,1.2247,12.09,38000,1
2016-08-01,129.220001,206.568939,1.1162,9.41,47717,3
2016-12-07,111.830002,214.9431,1.0753,11.09,41946,4
2016-07-29,128.979996,206.740295,1.1174,9.76,47480,3
2017-08-14,121.919998,239.525208,1.178,9.72,39178,3
2016-08-18,129.110001,208.397125,1.1354,11.3,46094,3
2015-06-19,115.120003,196.471832,1.1353,20.02,36680,2
2014-02-04,120.989998,158.843277,1.3519,34.740002000000004,43557,1
2012-11-09,167.820007,121.785072,1.2709,31.73,60785,4
2012-06-18,157.929993,117.841667,1.2576,31.32,54923,2
2015-04-23,114.660004,195.845032,1.0827,19.76,36111,2
2013-07-30,128.119995,151.12355,1.3263,36.669998,41663,3
2018-09-24,113.470001,289.330414,1.1748,15.25,37867,3
2014-09-04,121.480003,182.993973,1.2945,35.299999,41485,3
